,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
85500,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,6/14/2017,9.3,Hilton London Bankside,Australia,No complaints just another quality stay with Hilton did not disappoint,13,2319,Well presented hotel professional and welcoming staff closely located to Tower Bridge and Borough Markets Room service was delicious Try the fudge brownie you won t be disappointed Facilities were amazing The rental bikes scattered throughout the city are a cheap and easy way to explore the city much better than a tight tight squeeze in the tubes,59,6,9.6,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",50 days,51.5056956,-0.101525,Oceania
85514,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,5/16/2017,9.3,Hilton London Bankside,United States of America,no view from my room Just a huge concrete wall,12,2319,The stay was super wonderful Bed was super comfy Breakfast was fabulous Location was great and staff were super helpful,22,1,9.2,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 2 nights ']",79 days,51.5056956,-0.101525,North America
85542,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,3/30/2017,9.3,Hilton London Bankside,New Zealand,Credit card debited automatically this is not good,10,2319,Very comfortable bed Very nice room Professional staff Very good gym and pool Walking distance to Southwark tube station Close to other attractions such as the Globe theater,30,5,9.2,"[' Business trip ', ' Family with young children ', ' Twin Guest Room ', ' Stayed 4 nights ']",126 day,51.5056956,-0.101525,Oceania
85575,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,2/2/2017,9.3,Hilton London Bankside,United States of America,Breakfast price is steep c 20GBP,7,2319,Updated gym and swimming pool complex Sociable lounge area and restaurant Good size rooms and comfortable beds Location for anyone needing to be close to Blackfriars South Bank The street has a costa sainsburys local pub etc therefore the hotel is well positioned,44,6,9.2,"[' Business trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",182 day,51.5056956,-0.101525,North America
85590,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,1/4/2017,9.3,Hilton London Bankside,United States of America,staff was inconsistent concierges never seemed to know about the better rated restaurants etc staff was inconsistent and sloppy with room maintenance,24,2319,hotel is very new and so everything works pretty well and is pretty clean Location was selected for NYE activities but otherwise only so so locationwise,28,29,8.3,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 3 nights ']",211 day,51.5056956,-0.101525,North America
85593,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,12/30/2016,9.3,Hilton London Bankside,Australia,Food and drink prices are on the high side,11,2319,Nice and new Modern clean rooms hotel ambience is fantastic Good bathroom comfy bed good hotel gym Highly recommend,21,2,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",216 day,51.5056956,-0.101525,Oceania
85598,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,12/22/2016,9.3,Hilton London Bankside,Australia,We loved everything,5,2319,Our room was beautiful It was large too which is really unusual in London Quality linen and pillows huge comfy bed spotless new bathroom with sumptuous towels 5 minute walk to the tube a Sainsbury s right next door and a generously sized fridge in the room Wifi worked perfectly honestly we both agreed this is the best 5 star hotel we ve stayed in in London We will definitely be back Ps loved the classy Christmas decorations,80,7,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",224 day,51.5056956,-0.101525,Oceania
85609,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,11/29/2016,9.3,Hilton London Bankside,United States of America,The king sized bed was two smaller sized mattresses placed next to each other I tended to roll a bit towards the middle split though I never fell in A true king sized bed would have been the ideal,41,2319,The Hilton Bankside has got to be the standard bearer in the hotel hospitality industry This was my second visit there and the service and accommodations were again unparalleled The location is also ideal just adjacent to the Tate Modern and very close to both the Southwark station on the Jubilee line and Burrough Market Though this is not a budget hotel it is also surprisingly affordable given the outstanding quality Is it possible to be in love with a hotel If it is you ll find me on one knee,93,1,10.0,"[' Leisure trip ', ' Group ', ' King Guest Room ', ' Stayed 6 nights ']",247 day,51.5056956,-0.101525,North America
85616,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,11/17/2016,9.3,Hilton London Bankside,United States of America,No Negative,0,2319,The staff was very accommodating and went above and beyond to make sure we enjoyed our stay The room service was very professional and the quality of the food was above expectations Very nice presentation and taste,39,2,10.0,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 3 nights ']",259 day,51.5056956,-0.101525,North America
85623,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,10/25/2016,9.3,Hilton London Bankside,United States of America,The pillows are too soft to sleep on,10,2319,The full English breakfast was the first class The consiegs are very friendly and helpful The bed is spacious and very comfortable The decorations inside the hotel are modern unique and elegant,34,1,7.9,"[' Leisure trip ', ' Family with young children ', ' King Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",282 day,51.5056956,-0.101525,North America
85661,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,8/30/2016,9.3,Hilton London Bankside,Australia,Nothing to fault about this hotel,8,2319,Large room on 6th floor with glimpse of St Pauls Cathedral Very comfortable bed large couch huge new TV large desk and a very modern large bathroom with a huge walk in shower with a massive rain head shower head Everything about this hotel was excellent Staff were very friendly and efficient Location very good about 5 mins walk to Southwark Tube station Tesco Metro next door and a mini Sainsburys across the road Will definitely stay here again,81,13,10.0,"[' Leisure trip ', ' Solo traveler ', ' King Guest Room ', ' Stayed 7 nights ']",338 day,51.5056956,-0.101525,Oceania
85664,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,8/25/2016,9.3,Hilton London Bankside,United States of America,Executive lounge breakfast was limited as was drink selection at Distillery Bar Great if you like gin though,20,2319,Friendly and helpful staff Great location for several attractions and access to City of London,16,3,10.0,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",343 day,51.5056956,-0.101525,North America
85675,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,8/10/2016,9.3,Hilton London Bankside,Australia,Nothing was an excellent place to stay and would recommend it to anyone looking to stay a few nights in London,23,2319,Very central and close to everything staff were helpful and had good knowledge and happy to help,19,1,10.0,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 2 nights ']",358 day,51.5056956,-0.101525,Oceania
85683,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,7/26/2016,9.3,Hilton London Bankside,United States of America,Nothing could be improved,6,2319,The staff from the top down were all excellent Very eager to please and helpful beyond the call of duty eg HJ one of the hotel managers sewed one of the strings from my backpack after I couldn t manage it It doesn t get better than that in my mind,53,1,10.0,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 2 nights ']",373 day,51.5056956,-0.101525,North America
85699,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,6/11/2016,9.3,Hilton London Bankside,Australia,The London traffic it was terrible,7,2319,The hotel being 7 months old was a pleasant surprise to what we have stayed in before while in London would stay there again Butler was very good with his knowledge discriptions of where to go,37,8,9.2,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",418 day,51.5056956,-0.101525,Oceania
85706,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,5/25/2016,9.3,Hilton London Bankside,Australia,The lighting in the room was pretty hard to work out so was very hard to get up in the night without accidentally putting on every light in the room,31,2319,The bed was very comfortable good shower and friendly staff,11,2,10.0,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",435 day,51.5056956,-0.101525,Oceania
85712,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,5/16/2016,9.3,Hilton London Bankside,Canada,Room service came with no napkins or water Taxi driver was 15 min late,15,2319,The service is top notch you can tell that everyone truly cares that each and every guest has the best stay possible We came from Vancouver B C Canada and arrived at 10 am exhausted and they gave us our room right away no extra charge I have traveled lots and never had that happen The beds were super comfortable,62,2,10.0,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",444 day,51.5056956,-0.101525,North America
85725,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/28/2016,9.3,Hilton London Bankside,United States of America,It was a challange to find hot water on the shower nob There were not enough towel racks so they were drapped or laying about Volume on the TV was muted because of the recessed installation Price for food and drinks were just outrageously expensive The walking route to the closest Tube station is a little dodgy at night so you might want to take the longer but better lit route,73,2319,The bedding was outstanding Plus you can easily adjust the temperature to make those down covers delightful They left water at bedside when they turned down the covers at night Service was just impeccable Many tourist sights were within easy walking distance from the hotel and close to a Tube station,53,2,8.8,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 3 nights ']",462 day,51.5056956,-0.101525,North America
85732,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/22/2016,9.3,Hilton London Bankside,United States of America,It is a bit far from where I visited the most like soho areas But 5 min walking to the tube is fine,24,2319,The staff are extremely helpful and polite The house keeper always clean my room even with my clothes folded appropriately The bathroom is spacious and clean I also enjoyed the swimming pool a lot,35,4,9.6,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 5 nights ']",468 day,51.5056956,-0.101525,North America
85734,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/19/2016,9.3,Hilton London Bankside,United States of America,My husband and I have no complaints,9,2319,The hotel is in a fabulous location the staff was attentive the rooms were spotless and the beds were super comfortable I highly recommend this hotel,28,10,10.0,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",471 day,51.5056956,-0.101525,North America
85741,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/10/2016,9.3,Hilton London Bankside,Australia,Very busy atmosphere good for a business stay but not if you are looking to relax We received a room adapted for the disabled Not enough wardrobe space and lighting No space to leave our suitcases or to hang the towels,43,2319,We stayed here for a week and were able to try out all facilities Extremely friendly efficient and helpful staff Excellent breakfast and restaurant Very tidy room and great mattress,32,17,9.2,"[' Business trip ', ' Couple ', ' King Guest Room Wheelchair Accessible ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",480 day,51.5056956,-0.101525,Oceania
85745,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/4/2016,9.3,Hilton London Bankside,Australia,Given a twin room facing a bleak courtyard and blank wall but cannot fault the room itself,19,2319,Spacious room new modern and high level of quality would definitely return,14,7,9.6,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 2 nights ']",486 day,51.5056956,-0.101525,Oceania
85759,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,3/1/2016,9.3,Hilton London Bankside,Australia,Sometimes there would be knocks on the door from housekeeping and the knocks would be quite jarring when you are just relaxing in the room A soft doorbell would be more in keeping with the whole experience but I don t think there are any doorbells,48,2319,The bed was very comfortable to sleep in and i was very impressed with the level of cleanliness as well as with the housekeeping everyday of the room,30,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",520 day,51.5056956,-0.101525,Oceania
